title,belongs_to_collection,budget,genre1,genre2,genre3,genre4,genre5,runtime,director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,language,country,actor_2_facebook_likes,imdb_score,movie_facebook_likes
17 Again,NA,20000000,Comedy,,,,,102,Burr Steers,191,23,651,Hunter Parrish,2000,Matthew Perry,146899,7009,Thomas Lennon,1,adult as child|father son relationship|high school student|janitor|school,English,USA,2000,6.4,0
1911,NA,30000000,Adventure,Drama,Action,History,War,125,Li Zhang,63,0,187,Joan Chen,974,Bingbing Li,4670,1887,Jaycee Chan,0,china|disarming someone|qing dynasty|stabbed with a bayonet|war violence,Mandarin,China,643,6,0
1941,NA,35000000,Action,Comedy,,,,113,Steven Spielberg,56,14000,642,John Belushi,16000,Christopher Lee,25193,20201,Treat Williams,5,california|captain|cult film|pearl harbor|submarine,English,USA,1000,5.9,2000
2 Fast 2 Furious,"{'id': 9485, 'name': 'The Fast and the Furious Collection', 'poster_path': '/mCkqJf4ijbNoBWvJ0RTWZJuhJUA.jpg', 'backdrop_path': '/z5A5W3WYJc3UVEWljSGwdjDgQ0j.jpg'}",76000000,Action,Crime,Thriller,,,107,John Singleton,150,309,771,Cole Hauser,23000,Paul Walker,191912,25296,Mo Gallini,5,bust|racing|shotgun|street racing|undercover agent,English,USA,787,5.9,0
2 Guns,NA,61000000,Action,Comedy,Crime,,,109,Baltasar Kormákur,265,175,459,Patrick Fischler,18000,Denzel Washington,156898,20148,Fred Ward,1,close up of breasts|female nudity|fugitive|money|undercover,English,USA,497,6.7,22000
2:13,NA,3500000,Horror,Thriller,Mystery,,,96,Charles Adelman,4,0,460,Kevin Pollak,708,Teri Polo,961,2307,Jere Burns,0,death|forensic|murder|profiler|serial killer,English,USA,574,4.8,211
20 Feet from Stardom,NA,1000000,Documentary,Music,,,,89,Morgan Neville,149,9,13,Lou Adler,130,Sheryl Crow,9540,198,Merry Clayton,0,backup singer|band|bechdel test passed|concert footage|singer,English,USA,19,7.4,14000
"20,000 Leagues Under the Sea",NA,5000000,Adventure,Drama,Science Fiction,,,127,Richard Fleischer,69,130,51,Robert J. Wilke,618,James Mason,22124,800,Paul Lukas,0,captain|expedition|sea|submarine|whale,English,USA,53,7.2,0
"20,000 Leagues Under the Sea",NA,5000000,Adventure,Drama,Science Fiction,,,127,Richard Fleischer,69,130,51,Robert J. Wilke,617,James Mason,22123,799,Paul Lukas,0,captain|expedition|sea|submarine|whale,English,USA,53,7.2,0
"20,000 Leagues Under the Sea",NA,200000,Adventure,Drama,Action,Science Fiction,,105,Richard Fleischer,69,130,51,Robert J. Wilke,618,James Mason,22124,800,Paul Lukas,0,captain|expedition|sea|submarine|whale,English,USA,53,7.2,0
"20,000 Leagues Under the Sea",NA,200000,Adventure,Drama,Action,Science Fiction,,105,Richard Fleischer,69,130,51,Robert J. Wilke,617,James Mason,22123,799,Paul Lukas,0,captain|expedition|sea|submarine|whale,English,USA,53,7.2,0
200 Cigarettes,NA,6000000,Comedy,Drama,Romance,,,101,Risa Bramon Garcia,67,112,612,Dave Chappelle,1000,Janeane Garofalo,13010,2697,Gaby Hoffmann,5,bartender|friend|new year's eve|party|punk,English,USA,744,5.9,0
2001: A Space Odyssey,"{'id': 4438, 'name': 'The Space Odyssey Series', 'poster_path': '/i1WdRtc6aObiwGz5NU8WWPW3r1N.jpg', 'backdrop_path': '/15FumSExI9SRoL7QJWZAsA0b10c.jpg'}",10500000,Science Fiction,Mystery,Adventure,,,149,Stanley Kubrick,285,0,73,Gary Lockwood,273,Keir Dullea,427357,727,Glenn Beck,0,ancient astronaut|famous line|message from outer space|monolith|star child,English,UK,117,8.3,24000
2012,NA,200000000,Action,Adventure,Science Fiction,,,158,Roland Emmerich,367,776,310,Liam James,1000,Oliver Platt,283418,2144,Tom McCarthy,0,ark|catastrophe|geologist|president|writer,English,USA,468,5.8,13000
2016: Obama's America,NA,2500000,Documentary,,,,,87,Dinesh D'Souza,30,67,67,Zackary Steven Graham,871,Barack Obama,9010,1111,Dinesh D'Souza,0,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,English,USA,118,5.1,0
2046,"{'id': 287016, 'name': ""Wong Kar-Wai's Informal Collection"", 'poster_path': '/fcGKAq9R8fjvXBhVhEds7SRDiWS.jpg', 'backdrop_path': None}",12000000,Fantasy,Drama,Science Fiction,Romance,,129,Kar-Wai Wong,194,0,576,Tony Chiu Wai Leung,878,Li Gong,41496,2378,Maggie Cheung,0,number in title|train|woman slaps a man|woman slaps man|written by director,Cantonese,Hong Kong,643,7.5,0
21,NA,35000000,Drama,Crime,,,,123,Robert Luketic,144,126,1000,Jim Sturgess,18000,Kevin Spacey,191470,25661,Josh Gad,2,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,English,USA,5000,6.8,0
21 & Over,NA,13000000,Comedy,,,,,93,Jon Lucas,168,24,499,Josie Loren,552,Justin Chon,60407,2730,Sarah Wright,0,21st birthday|college student|drunken man|pubic hair|standing up to father,English,USA,528,5.9,11000
21 Grams,NA,20000000,Drama,Crime,Thriller,,,124,Alejandro G. Iñárritu,192,0,430,Eddie Marsan,6000,Naomi Watts,189683,7567,Danny Huston,0,accident|faith|love|mathematician|nonlinear timeline,English,USA,979,7.7,0
21 Jump Street,"{'id': 212562, 'name': 'Jump Street Collection', 'poster_path': '/vufY0iuDNXGEdYOgZNcJFAEZeak.jpg', 'backdrop_path': '/iiAbTNYXpMadPDH4MkjUoJzcGn4.jpg'}",42000000,Action,Comedy,Crime,,,109,Phil Lord,375,97,839,Dax Flame,17000,Channing Tatum,408302,19968,Rob Riggle,2,narcotics|parody|police|remake|undercover cop,English,USA,971,7.2,39000
22 Jump Street,"{'id': 212562, 'name': 'Jump Street Collection', 'poster_path': '/vufY0iuDNXGEdYOgZNcJFAEZeak.jpg', 'backdrop_path': '/iiAbTNYXpMadPDH4MkjUoJzcGn4.jpg'}",50000000,Crime,Comedy,Action,,,112,Phil Lord,330,97,584,Craig Roberts,17000,Channing Tatum,258186,19428,Amber Stevens West,2,college|drugs|hidden camera|tattoo|undercover,English,USA,920,7.1,24000
25th Hour,NA,15000000,Crime,Drama,,,,135,Spike Lee,202,0,346,Rosario Dawson,22000,Philip Seymour Hoffman,149528,26050,Aaron Stanford,0,bar|dream|drug dealing|nightclub|widower,English,USA,3000,7.7,0
27 Dresses,NA,30000000,Comedy,Romance,,,,111,Anne Fletcher,175,98,71,Bern Cohen,2000,Judy Greer,124501,2978,Yetta Gottesman,1,boss|bridesmaid|friend|love|wedding,English,USA,805,6.1,0
28 Days,NA,43000000,Comedy,Drama,,,,103,Betty Thomas,116,84,664,Viggo Mortensen,12000,Steve Buscemi,34597,23864,Elizabeth Perkins,1,12 step program|box office hit|car accident|vomiting|wedding,English,USA,10000,6,0
28 Weeks Later,"{'id': 1565, 'name': '28 Days/Weeks Later Collection', 'poster_path': '/4AeGz1Jwnq6ky2kfLT95Tm8nEiw.jpg', 'backdrop_path': '/bpn1vynevsKLwAMRikY1L6cb18p.jpg'}",15000000,Horror,Thriller,Science Fiction,,,100,Juan Carlos Fresnadillo,274,35,306,Harold Perrineau,10000,Jeremy Renner,212167,11471,Catherine McCormack,1,paris france|rage|sniper|u.s. army|zombie apocalypse,English,UK,1000,7,0
3 Days to Kill,NA,28000000,Action,Drama,Thriller,Crime,,113,McG,211,368,114,Richard Sammel,933,Connie Nielsen,69355,1286,Tómas Lemarquis,0,cancer|estranged wife|leather dress|spy|terrorist,English,USA,194,6.2,10000
3 Strikes,NA,6000000,Action,Comedy,Romance,,,82,DJ Pooh,22,69,585,Mike Epps,939,Mo'Nique,1415,3354,Faizon Love,1,adult diaper|diaper|digit in title|dream|sawed off shotgun,English,USA,706,4,118
3:10 to Yuma,NA,55000000,Western,,,,,122,James Mangold,295,446,600,Logan Lerman,23000,Christian Bale,237872,33548,Gretchen Mol,1,outlaw|rancher|small western town|stagecoach|train,English,USA,8000,7.8,0
30 Days of Night,"{'id': 91660, 'name': '30 Days of Night Collection', 'poster_path': '/fRAZnIegztYTPsM9eGjSUusKUYM.jpg', 'backdrop_path': '/uKN4mENg8BVeKCxwWXGCvFeUim8.jpg'}",30000000,Horror,Thriller,,,,113,David Slade,304,171,63,Mark Rendall,430,Danny Huston,138435,814,Megan Franich,0,alaska|small town|snow|vampire|winter,English,USA,72,6.6,0
30 Minutes or Less,NA,28000000,Action,Adventure,Comedy,,,83,Ruben Fleischer,220,181,459,Dilshad Vadsaria,731,Bianca Kajlich,77935,1987,Fred Ward,3,bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal,English,Germany,579,6.1,0
300,"{'id': 125570, 'name': '300 Collection', 'poster_path': '/nKQqh6kJvPdpOJD24enD3Bm1Hy5.jpg', 'backdrop_path': '/mLLztGKyxSLoWjgRSpmm9W12VsU.jpg'}",65000000,Action,Adventure,War,,,117,Zack Snyder,460,0,447,Michael Fassbender,18000,Gerard Butler,607235,32360,Vincent Regan,0,battle|epic|greece|spartan|warrior,English,USA,13000,7.7,13000
300: Rise of an Empire,"{'id': 125570, 'name': '300 Collection', 'poster_path': '/nKQqh6kJvPdpOJD24enD3Bm1Hy5.jpg', 'backdrop_path': '/mLLztGKyxSLoWjgRSpmm9W12VsU.jpg'}",110000000,Action,War,,,,102,Noam Murro,366,263,1000,Sullivan Stapleton,6000,Eva Green,225273,10583,Peter Mensah,0,army|commander|female rear nudity|greek|navy,English,USA,1000,6.2,71000
3000 Miles to Graceland,NA,62000000,Action,Adventure,Comedy,Thriller,Crime,125,Demian Lichtenstein,113,11,867,Bokeem Woodbine,11000,Jon Lovitz,38076,14536,Ice-T,2,casino|elvis impersonator|gun|heist|rascal,English,USA,904,5.9,0
"4 Months, 3 Weeks and 2 Days",NA,852510,Drama,,,,,113,Cristian Mungiu,233,163,27,Vlad Ivanov,131,Anamaria Marinca,44763,264,Alexandru Potocean,0,female rear nudity|friend|hotel|rainy night|towel,Romanian,Romania,60,7.9,14000
40 Days and 40 Nights,NA,17000000,Comedy,Romance,,,,94,Michael Lehmann,140,36,486,Vinessa Shaw,1000,Emmanuelle Vaugier,62272,3294,Paulo Costanzo,0,female on male rape|lent|male rear nudity|masturbation|sex,English,USA,580,5.6,2000
42,NA,40000000,Drama,,,,,128,Brian Helgeland,216,241,898,Christopher Meloni,11000,Harrison Ford,66511,16911,Nicole Beharie,0,baseball|baseball player|brooklyn dodgers|major league baseball|racism,English,USA,3000,7.5,28000
42nd Street,NA,439000,Music,Comedy,Romance,,,89,Lloyd Bacon,65,24,45,Dick Powell,610,Ginger Rogers,7921,995,George Brent,2,chorus girl|chorus line|director|gala premiere|song,English,USA,105,7.7,439
47 Ronin,NA,175000000,Drama,Action,Adventure,Fantasy,,119,Carl Rinsch,218,47,982,Cary-Hiroyuki Tagawa,18000,Keanu Reeves,116994,20965,Jin Akanishi,2,box office flop|ronin|samurai|shogun|tournament,English,USA,1000,6.3,35000
5 Days of War,NA,20000000,War,Drama,,,,113,Renny Harlin,74,212,18,Kenneth Cranham,567,Richard Coyle,12128,708,Ana Imnadze,9,cameraman|epic battle|journalist|south ossetia|street shootout,English,Georgia,111,5.6,0
50 First Dates,NA,75000000,Comedy,Romance,,,,99,Peter Segal,147,88,328,Peter Dante,11000,Adam Sandler,266103,12952,Allen Covert,2,dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,English,USA,427,6.8,11000
50/50,NA,8000000,Comedy,Drama,,,,100,Jonathan Levine,327,129,3000,Anna Kendrick,23000,Joseph Gordon-Levitt,270441,39807,Bryce Dallas Howard,2,best friend|cancer|survival rate|therapist|vomiting,English,USA,10000,7.7,40000
54,NA,13000000,Music,Drama,,,,106,Mark Christopher,63,15,812,Ellen Albertini Dow,4000,Salma Hayek,27675,6910,Sela Ward,4,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,English,USA,957,5.8,0
55 Days at Peking,NA,17000000,Action,Drama,History,,,154,Nicholas Ray,15,117,86,David Niven,715,Ava Gardner,4550,1567,John Ireland,3,ambassador|boxer rebellion|china|colonialism|peking china,English,USA,490,6.8,419
8 Mile,NA,41000000,Drama,,,,,110,Curtis Hanson,119,161,196,Omar Benson Miller,1000,Mekhi Phifer,187181,1954,Evan Jones,0,competition|contest|friend|self expression|white rapper,English,USA,418,7,0
8 Women,NA,8000000,Comedy,Thriller,Music,Crime,Mystery,111,François Ozon,128,341,569,Isabelle Huppert,963,Catherine Deneuve,23660,3543,Emmanuelle Béart,1,cook|industrialist|secret|snowstorm|suspect,French,France,678,7.1,0
88 Minutes,NA,30000000,Crime,Mystery,Thriller,,,108,Jon Avnet,158,50,494,Alicia Witt,14000,Al Pacino,65628,16722,Deborah Kara Unger,1,death|fbi|forensics|murder|serial killer,English,USA,975,5.9,0
8MM,"{'id': 387618, 'name': '8MM Collection', 'poster_path': '/8Scc8lBpS2lQs7KPOuxzlm2Z0iP.jpg', 'backdrop_path': '/jgq6X9da6KnEzKNqqb3dYR8bWKy.jpg'}",40000000,Thriller,Crime,Mystery,,,123,Joel Schumacher,138,541,173,Chris Bauer,12000,Nicolas Cage,104564,12970,Anthony Heald,1,investigation|obsession|private eye|private investigator|snuff film,English,Germany,638,6.5,0
9,NA,30000000,Action,Adventure,Animation,Science Fiction,Thriller,79,Shane Acker,263,30,265,Alan Oppenheimer,940,Martin Landau,111117,1594,Tom Kane,0,hope|key|machine|number|rag doll,English,USA,271,7.1,13000
90 Minutes in Heaven,NA,5000000,Drama,,,,,121,Michael Polish,12,35,473,Bobby Batson,4000,Hayden Christensen,2047,6617,Cynthia Barrett,0,heaven|hospital|praying|pronounced dead|recovery,English,USA,849,4.6,0
A Beautiful Mind,NA,60000000,Drama,Romance,,,,135,Ron Howard,205,2000,535,Austin Pendleton,1000,Adam Goldberg,610568,2827,Judd Hirsch,0,conspiracy|cryptography|mathematician|mental illness|nobel prize,English,USA,592,8.2,29000
A Better Life,NA,10000000,Drama,,,,,98,Chris Weitz,94,129,221,Eddie 'Piolin' Sotelo,749,Demián Bichir,13174,2214,Robert Peters,0,gang|gardener|money|police|truck,English,USA,252,7.2,0
A Bridge Too Far,NA,22000000,Drama,History,War,,,175,Richard Attenborough,56,0,14,Dirk Bogarde,385,Ryan O'Neal,40277,669,Wolfgang Preiss,14,airborne troops|allies|operation market garden|panzer|paratrooper,English,USA,232,7.4,0
A Bug's Life,NA,120000000,Adventure,Animation,Comedy,Family,,95,John Lasseter,117,487,1000,Madeline Kahn,18000,Kevin Spacey,211226,24205,John Ratzenberger,0,ant|circus|grasshopper|misunderstanding|overhearing,English,USA,1000,7.2,0
A Christmas Carol,NA,200000000,Animation,Drama,,,,96,Robert Zemeckis,240,0,10000,Colin Firth,18000,Robin Wright,72809,48878,Gary Oldman,0,charles dickens|christmas|christmas eve|ghost|scrooge,English,USA,14000,6.8,0
A Christmas Story,"{'id': 201873, 'name': 'A Christmas Story Collection', 'poster_path': '/qjHPRBBiluOwJZp7AcMtrs0dNPr.jpg', 'backdrop_path': '/sDJLWSHdsORRGMEii0SWvm7DMwN.jpg'}",0,Comedy,Family,,,,94,Bob Clark,109,84,378,Darren McGavin,662,Zack Ward,104908,2076,Scott Schwartz,0,bb gun|boy|bully|christmas|tongue stuck on a pole,English,USA,577,8.1,18000
A Cinderella Story,"{'id': 437451, 'name': 'Cinderella Story Collection', 'poster_path': '/65raP1FRJpPC5GVWVvemQ3kLAKG.jpg', 'backdrop_path': '/iVqkNuy2jpcurdk2ZH2iAexJTo6.jpg'}",19000000,Comedy,,,,,95,Mark Rosman,69,15,528,Lin Shaye,1000,Dan Byrd,62861,3092,Julie Gonzalo,2,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,English,USA,852,5.9,0
A Civil Action,NA,70000000,Drama,,,,,115,Steven Zaillian,110,234,521,Kathleen Quinlan,3000,Robert Duvall,23302,4713,Sydney Pollack,1,1980s|law firm|lawsuit|lawyer|toxic waste,English,USA,552,6.5,1000
A Dangerous Method,NA,15000000,Drama,Thriller,,,,99,David Cronenberg,345,0,691,Viggo Mortensen,13000,Michael Fassbender,80617,23755,Sarah Gadon,3,carl jung|patient|psychoanalysis|russian|sigmund freud,English,UK,10000,6.5,36000
A Dog's Breakfast,NA,120000,Comedy,,,,,88,David Hewlett,8,686,405,David Hewlett,847,Christopher Judge,3262,2364,Paul McGillion,2,dog|vegetarian,English,Canada,686,7,377
A Dog's Breakfast,NA,120000,Comedy,,,,,88,David Hewlett,8,686,405,David Hewlett,847,Christopher Judge,3262,2364,Paul McGillion,2,dog|vegetarian,English,Canada,686,7,377
A Farewell to Arms,NA,4,Drama,Romance,War,,,89,Frank Borzage,42,57,99,Helen Hayes,998,Gary Cooper,3519,1284,Adolphe Menjou,1,1910s|ambulance driver|italy|lake|nurse,English,USA,164,6.6,213
A Farewell to Arms,NA,4,Drama,Romance,War,,,89,Frank Borzage,42,57,99,Helen Hayes,998,Gary Cooper,3519,1284,Adolphe Menjou,1,1910s|ambulance driver|italy|lake|nurse,English,USA,164,6.6,213
A Few Good Men,NA,40000000,Drama,,,,,138,Rob Reiner,81,0,574,Demi Moore,10000,Tom Cruise,181879,14619,Kevin Pollak,0,cuba|guantanamo|lance corporal|lawyer|murder,English,USA,2000,7.6,0
A Fistful of Dollars,"{'id': 48317, 'name': 'The Man With No Name Collection', 'poster_path': '/lzUZptOL6iQqulMvhB2jfT5GepD.jpg', 'backdrop_path': '/uAkE1MAvFUiYjOllgDRndispKu3.jpg'}",200000,Western,,,,,99,Sergio Leone,122,0,93,Gian Maria Volontè,16000,Clint Eastwood,147566,16534,Aldo Sambrell,1,balladeer|bar|drifter|mexican|revenge,Italian,Italy,360,8,0
A Good Day to Die Hard,"{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}",92000000,Action,Thriller,,,,98,John Moore,412,212,476,Cole Hauser,13000,Bruce Willis,165618,15481,Megalyn Echikunwoke,2,bomb|cia|courthouse|escape|russian,English,USA,787,5.3,66000
A Good Year,NA,35000000,Comedy,Drama,Romance,,,118,Ridley Scott,147,0,567,Albert Finney,883,Archie Panjabi,70698,3611,Richard Coyle,1,based on novel|inheritance|provence|uncle|wine,English,USA,883,6.9,9000
A Guy Named Joe,NA,2627000,Drama,Romance,War,,,120,Victor Fleming,9,149,315,Esther Williams,760,Spencer Tracy,1553,2555,Irene Dunne,0,heaven|pilot|teacher|training|world war two,English,USA,675,7,116
A Guy Thing,NA,20000000,Comedy,Romance,,,,101,Chris Koch,81,13,499,Lochlyn Munro,651,Thomas Lennon,14147,2698,James Brolin,3,bachelor party|climbing a tree|taxi|toilet|wedding,English,USA,555,5.6,401
A Hard Day's Night,NA,560000,Comedy,Music,,,,88,Richard Lester,105,44,704,Ringo Starr,785,Paul McCartney,31429,2538,George Harrison,1,boy|concert|drummer|manager|television,English,UK,725,7.7,0
A Haunted House,"{'id': 251937, 'name': 'A Haunted House Collection', 'poster_path': '/ycm511kfyzVVjRU70nxtAGjAPbQ.jpg', 'backdrop_path': '/5NTJZ571646mTziTOGt0jnq7uKe.jpg'}",2500000,Comedy,Horror,,,,86,Michael Tiddes,129,89,555,Alanna Ubach,713,Essence Atkins,34620,3421,J.B. Smoove,6,hamburger|parody|priest|psychic|woman in a bikini,English,USA,584,5.1,0
A History of Violence,NA,32000000,Drama,Thriller,Crime,,,96,David Cronenberg,441,0,882,Kyle Schmid,10000,Viggo Mortensen,186606,12754,William Hurt,1,bar|crotch shot|female full frontal nudity|female pubic hair|robbery,English,USA,917,7.5,0
A Home at the End of the World,NA,6500000,Romance,Drama,,,,96,Michael Mayer,84,15,874,Matt Frewer,18000,Robin Wright,12049,21107,Sissy Spacek,2,hand job|hugging|long hair|new york city|two men one woman,English,USA,986,6.8,1000
A Knight's Tale,NA,65000000,Adventure,Drama,Romance,Action,,132,Brian Helgeland,167,241,996,Rufus Sewell,13000,Heath Ledger,137003,18761,Bérénice Bejo,1,chaucer|jousting|knight|medieval times|tournament,English,USA,3000,6.9,0
A League of Their Own,NA,40000000,Comedy,,,,,128,Penny Marshall,41,545,251,Lori Petty,15000,Tom Hanks,71754,16751,Rosie O'Donnell,3,baseball|friend|oregon|rivalry|softball,English,USA,923,7.2,0
A Lonely Place to Die,NA,4000000,Adventure,Action,Thriller,Crime,,99,Julian Gilbey,135,7,641,Eamonn Walker,762,Ed Speleers,22220,2631,Sean Harris,1,kidnapper|mountaineering|scotland|scottish highlands|sniper,English,UK,706,6.3,0
A Lot Like Love,NA,30000000,Comedy,,,,,107,Nigel Cole,112,13,165,Tyrone Giordano,618,Aimee Garcia,58297,1095,James Read,3,flight|hasselblad camera|los angeles california|love|medium format camera,English,USA,172,6.6,0
A Low Down Dirty Shame,NA,10000000,Action,Comedy,Crime,,,100,Keenen Ivory Wayans,8,322,534,Salli Richardson-Whitfield,851,Jada Pinkett Smith,3924,3190,Charles S. Dutton,2,drugs|ex cop|gun fu|machismo|shootout,English,USA,543,5.8,368
A Man Apart,NA,36000000,Action,Drama,,,,109,F. Gary Gray,110,473,582,Jeff Kober,14000,Vin Diesel,38348,16611,Larenz Tate,0,bust|dea|drug cartel|justice|tragic hero,English,USA,919,6.1,0
A Man for All Seasons,NA,3900000,Drama,History,,,,120,Fred Zinnemann,62,160,94,Susannah York,559,Robert Shaw,23713,1238,Paul Scofield,0,catholic|chancellor|divorce|king henry viii|thomas more,English,UK,269,7.9,2000
A Mighty Heart,NA,16000000,Drama,Thriller,,,,100,Michael Winterbottom,190,187,254,Archie Panjabi,11000,Angelina Jolie Pitt,24150,12178,Dan Futterman,0,fbi|journalist|missing|pakistan|reporter,English,USA,883,6.7,923
A Mighty Wind,NA,6000000,Comedy,Music,,,,91,Christopher Guest,97,378,345,Christopher Guest,658,Michael McKean,22408,1660,Laura Harris,0,concert|mockumentary|musician|new york city|singer,English,USA,378,7.3,0
A Monster in Paris,NA,25000000,Adventure,Animation,Comedy,Family,Fantasy,90,Bibo Bergeron,63,10,541,Bob Balaban,1000,Adam Goldberg,15790,3243,François Cluzet,0,belle epoque|city name in title|monster|paris france,French,France,559,6.8,0
A Most Violent Year,NA,20000000,Crime,Drama,Thriller,,,125,J.C. Chandor,350,78,745,Ashley Williams,1000,David Oyelowo,45799,3979,Albert Brooks,0,american dream|immigrant|new york city|oil|violence,English,USA,969,7,0
A Most Wanted Man,NA,15000000,Thriller,,,,,121,Anton Corbijn,291,210,123,Nina Hoss,22000,Philip Seymour Hoffman,57210,22574,Homayoun Ershadi,3,intelligence|intelligence agency|secret service|surveillance camera|war on terror,English,UK,164,6.8,13000
A Night at the Roxbury,NA,17000000,Comedy,,,,,81,John Fortenberry,63,12,281,Chris Kattan,8000,Will Ferrell,48458,9271,Dan Hedaya,2,1990s|bar|car accident|nightclub|whipped cream,English,USA,357,6.2,0
A Nightmare on Elm Street,"{'id': 8581, 'name': 'A Nightmare on Elm Street Collection', 'poster_path': '/BcgmrOz69AUBRukw5LLGeYsOgo.jpg', 'backdrop_path': '/xDScJToK3YDTZmxNqQ0hFTObeXq.jpg'}",35000000,Horror,Mystery,Thriller,,,95,Wes Craven,256,0,574,Lin Shaye,40000,Johnny Depp,149293,42918,Amanda Wyss,1,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,English,USA,852,7.5,10000
