title,belongs_to_collection,budget,genre1,genre2,genre3,genre4,genre5,popularity,production_companies_1,production_companies_2,month,day,year,release_date,revenue,runtime,director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,language,country,actor_2_facebook_likes,imdb_score,movie_facebook_likes
"20,000 Leagues Under the Sea",NA,5000000,Adventure,Drama,Science Fiction,,,8.722406,Walt Disney Productions,,12,23,1954,12/23/1954,28200000,127,Richard Fleischer,69,130,51,Robert J. Wilke,618,James Mason,22124,800,Paul LUnited Kingdomas,0,captain|expedition|sea|submarine|whale,English,United States,53,7.2,0
"20,000 Leagues Under the Sea",NA,5000000,Adventure,Drama,Science Fiction,,,8.722406,Walt Disney Productions,,12,23,1954,12/23/1954,28200000,127,Richard Fleischer,69,130,51,Robert J. Wilke,617,James Mason,22123,799,Paul LUnited Kingdomas,0,captain|expedition|sea|submarine|whale,English,United States,53,7.2,0
"20,000 Leagues Under the Sea",NA,200000,Adventure,Drama,Action,Science Fiction,,0.917777,The Universal Film Mfg. Co.,,12,24,1916,12/24/1916,8000000,105,Richard Fleischer,69,130,51,Robert J. Wilke,618,James Mason,22124,800,Paul LUnited Kingdomas,0,captain|expedition|sea|submarine|whale,English,United States,53,7.2,0
"20,000 Leagues Under the Sea",NA,200000,Adventure,Drama,Action,Science Fiction,,0.917777,The Universal Film Mfg. Co.,,12,24,1916,12/24/1916,8000000,105,Richard Fleischer,69,130,51,Robert J. Wilke,617,James Mason,22123,799,Paul LUnited Kingdomas,0,captain|expedition|sea|submarine|whale,English,United States,53,7.2,0
200 Cigarettes,NA,6000000,Comedy,Drama,Romance,,,3.227046,Paramount Pictures,,2,26,1999,2/26/1999,6852450,101,Risa Bramon Garcia,67,112,612,Dave Chappelle,1000,Janeane Garofalo,13010,2697,Gaby Hoffmann,5,bartender|friend|new year's eve|party|punk,English,United States,744,5.9,0
2001: A Space Odyssey,"{'id': 4438, 'name': 'The Space Odyssey Series', 'poster_path': '/i1WdRtc6aObiwGz5NU8WWPW3r1N.jpg', 'backdrop_path': '/15FumSExI9SRoL7QJWZAsA0b10c.jpg'}",10500000,Science Fiction,Mystery,Adventure,,,22.494622,Stanley Kubrick Productions,Metro-Goldwyn-Mayer (MGM),4,10,1968,4/10/1968,68700000,149,Stanley Kubrick,285,0,73,Gary Lockwood,273,Keir Dullea,427357,727,Glenn Beck,0,ancient astronaut|famous line|message from outer space|monolith|star child,English,United Kingdom,117,8.3,24000
2012,NA,200000000,Action,Adventure,Science Fiction,,,16.698628,Columbia Pictures,Centropolis Entertainment,10,10,2009,10/10/2009,769653595,158,Roland Emmerich,367,776,310,Liam James,1000,Oliver Platt,283418,2144,Tom McCarthy,0,ark|catastrophe|geologist|president|writer,English,United States,468,5.8,13000
2016: Obama's America,NA,2500000,Documentary,,,,,1.221216,,,7,13,2012,7/13/2012,33400000,87,Dinesh D'Souza,30,67,67,Zackary Steven Graham,871,Barack Obama,9010,1111,Dinesh D'Souza,0,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,English,United States,118,5.1,0
2046,"{'id': 287016, 'name': ""Wong Kar-Wai's Informal Collection"", 'poster_path': '/fcGKAq9R8fjvXBhVhEds7SRDiWS.jpg', 'backdrop_path': None}",12000000,Fantasy,Drama,Science Fiction,Romance,,7.157169,Paradis Films,Orly Films,5,20,2004,5/20/2004,19271312,129,Kar-Wai Wong,194,0,576,Tony Chiu Wai Leung,878,Li Gong,41496,2378,Maggie Cheung,0,number in title|train|woman slaps a man|woman slaps man|written by director,Cantonese,Hong Kong,643,7.5,0
21,NA,35000000,Drama,Crime,,,,8.33756,Columbia Pictures,Relativity Media,3,27,2008,3/27/2008,69823199,123,Robert LUnited Kingdometic,144,126,1000,Jim Sturgess,18000,Kevin Spacey,191470,25661,Josh Gad,2,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,English,United States,5000,6.8,0
21 & Over,NA,13000000,Comedy,,,,,11.29356,Relativity Media,Virgin Produced,3,1,2013,3/1/2013,48065672,93,Jon Lucas,168,24,499,Josie Loren,552,Justin Chon,60407,2730,Sarah Wright,0,21st birthday|college student|drunken man|pubic hair|standing up to father,English,United States,528,5.9,11000
21 Grams,NA,20000000,Drama,Crime,Thriller,,,6.372278,This Is That Productions,Y Productions,9,6,2003,9/6/2003,60427839,124,Alejandro G. Iñárritu,192,0,430,Eddie Marsan,6000,Naomi Watts,189683,7567,Danny Huston,0,accident|faith|love|mathematician|nonlinear timeline,English,United States,979,7.7,0
21 Jump Street,"{'id': 212562, 'name': 'Jump Street Collection', 'poster_path': '/vufY0iuDNXGEdYOgZNcJFAEZeak.jpg', 'backdrop_path': '/iiAbTNYXpMadPDH4MkjUoJzcGn4.jpg'}",42000000,Action,Comedy,Crime,,,11.250764,Columbia Pictures,Original Film,3,12,2012,3/12/2012,201585328,109,Phil Lord,375,97,839,Dax Flame,17000,Channing Tatum,408302,19968,Rob Riggle,2,narcotics|parody|police|remake|undercover cop,English,United States,971,7.2,39000
22 Jump Street,"{'id': 212562, 'name': 'Jump Street Collection', 'poster_path': '/vufY0iuDNXGEdYOgZNcJFAEZeak.jpg', 'backdrop_path': '/iiAbTNYXpMadPDH4MkjUoJzcGn4.jpg'}",50000000,Crime,Comedy,Action,,,10.901496,Columbia Pictures,Original Film,6,5,2014,6/5/2014,188441614,112,Phil Lord,330,97,584,Craig Roberts,17000,Channing Tatum,258186,19428,Amber Stevens West,2,college|drugs|hidden camera|tattoo|undercover,English,United States,920,7.1,24000
25th Hour,NA,15000000,Crime,Drama,,,,10.271871,40 Acres & A Mule Filmworks,Touchstone Pictures,12,16,2002,12/16/2002,13060843,135,Spike Lee,202,0,346,Rosario Dawson,22000,Philip Seymour Hoffman,149528,26050,Aaron Stanford,0,bar|dream|drug dealing|nightclub|widower,English,United States,3000,7.7,0
27 Dresses,NA,30000000,Comedy,Romance,,,,10.342202,Spyglass Entertainment,Fox 2000 Pictures,1,10,2008,1/10/2008,160259319,111,Anne Fletcher,175,98,71,Bern Cohen,2000,Judy Greer,124501,2978,Yetta Gottesman,1,boss|bridesmaid|friend|love|wedding,English,United States,805,6.1,0
28 Days,NA,43000000,Comedy,Drama,,,,4.756669,Columbia Pictures,,4,6,2000,4/6/2000,0,103,Betty Thomas,116,84,664,Viggo Mortensen,12000,Steve Buscemi,34597,23864,Elizabeth Perkins,1,12 step program|box office hit|car accident|vomiting|wedding,English,United States,10000,6,0
28 Weeks Later,"{'id': 1565, 'name': '28 Days/Weeks Later Collection', 'poster_path': '/4AeGz1Jwnq6ky2kfLT95Tm8nEiw.jpg', 'backdrop_path': '/bpn1vynevsKLwAMRikY1L6cb18p.jpg'}",15000000,Horror,Thriller,Science Fiction,,,12.884191,DNA Films,Figment Films,4,26,2007,4/26/2007,64238440,100,Juan Carlos Fresnadillo,274,35,306,Harold Perrineau,10000,Jeremy Renner,212167,11471,Catherine McCormack,1,paris france|rage|sniper|u.s. army|zombie apocalypse,English,United Kingdom,1000,7,0
3 Days to Kill,NA,28000000,Action,Drama,Thriller,Crime,,17.861119,Wonderland Sound and Vision,EuropaCorp,2,14,2014,2/14/2014,52597999,113,McG,211,368,114,Richard Sammel,933,Connie Nielsen,69355,1286,Tómas Lemarquis,0,cancer|estranged wife|leather dress|spy|terrorist,English,United States,194,6.2,10000
3 Strikes,NA,6000000,Action,Comedy,Romance,,,0.651625,,,3,1,2000,3/1/2000,9000000,82,DJ Pooh,22,69,585,Mike Epps,939,Mo'Nique,1415,3354,Faizon Love,1,adult diaper|diaper|digit in title|dream|sawed off shotgun,English,United States,706,4,118
3:10 to Yuma,NA,55000000,Western,,,,,18.079094,Tree Line Films,Lionsgate,9,6,2007,9/6/2007,70016220,122,James Mangold,295,446,600,Logan Lerman,23000,Christian Bale,237872,33548,Gretchen Mol,1,outlaw|rancher|small western town|stagecoach|train,English,United States,8000,7.8,0
30 Days of Night,"{'id': 91660, 'name': '30 Days of Night Collection', 'poster_path': '/fRAZnIegztYTPsM9eGjSUusKUYM.jpg', 'backdrop_path': '/United KingdomN4mENg8BVeKCxwWXGCvFeUim8.jpg'}",30000000,Horror,Thriller,,,,8.764548,Columbia Pictures,Dark Horse Entertainment,10,17,2007,10/17/2007,75505973,113,David Slade,304,171,63,Mark Rendall,430,Danny Huston,138435,814,Megan Franich,0,alaska|small town|snow|vampire|winter,English,United States,72,6.6,0
30 Minutes or Less,NA,28000000,Action,Adventure,Comedy,,,9.763493,Columbia Pictures,,8,11,2011,8/11/2011,40547440,83,Ruben Fleischer,220,181,459,Dilshad Vadsaria,731,Bianca Kajlich,77935,1987,Fred Ward,3,bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal,English,Germany,579,6.1,0
300,"{'id': 125570, 'name': '300 Collection', 'poster_path': '/nKQqh6kJvPdpOJD24enD3Bm1Hy5.jpg', 'backdrop_path': '/mLLztGKyxSLoWjgRSpmm9W12VsU.jpg'}",65000000,Action,Adventure,War,,,18.108408,Virtual Studios,Legendary Pictures,12,9,2006,12/9/2006,422610419,117,Zack Snyder,460,0,447,Michael Fassbender,18000,Gerard Butler,607235,32360,Vincent Regan,0,battle|epic|greece|spartan|warrior,English,United States,13000,7.7,13000
300: Rise of an Empire,"{'id': 125570, 'name': '300 Collection', 'poster_path': '/nKQqh6kJvPdpOJD24enD3Bm1Hy5.jpg', 'backdrop_path': '/mLLztGKyxSLoWjgRSpmm9W12VsU.jpg'}",110000000,Action,War,,,,12.904677,Legendary Pictures,Hollywood Gang Productions,3,5,2014,3/5/2014,337580051,102,Noam Murro,366,263,1000,Sullivan Stapleton,6000,Eva Green,225273,10583,Peter Mensah,0,army|commander|female rear nudity|greek|navy,English,United States,1000,6.2,71000
3000 Miles to Graceland,NA,62000000,Action,Adventure,Comedy,Thriller,Crime,4.76448,Franchise Pictures,Warner Bros.,2,23,2001,2/23/2001,18720175,125,Demian Lichtenstein,113,11,867,Bokeem Woodbine,11000,Jon Lovitz,38076,14536,Ice-T,2,casino|elvis impersonator|gun|heist|rascal,English,United States,904,5.9,0
"4 Months, 3 Weeks and 2 Days",NA,852510,Drama,,,,,9.990406,Saga Film,Mobra Films,8,24,2007,8/24/2007,1185783,113,Cristian Mungiu,233,163,27,Vlad Ivanov,131,Anamaria Marinca,44763,264,Alexandru Potocean,0,female rear nudity|friend|hotel|rainy night|towel,Romanian,Romania,60,7.9,14000
40 Days and 40 Nights,NA,17000000,Comedy,Romance,,,,8.628928,Miramax Films,Universal Pictures,3,1,2002,3/1/2002,0,94,Michael Lehmann,140,36,486,Vinessa Shaw,1000,Emmanuelle Vaugier,62272,3294,Paulo Costanzo,0,female on male rape|lent|male rear nudity|masturbation|sex,English,United States,580,5.6,2000
42,NA,40000000,Drama,,,,,11.637224,Warner Bros.,,4,12,2013,4/12/2013,95020213,128,Brian Helgeland,216,241,898,Christopher Meloni,11000,Harrison Ford,66511,16911,Nicole Beharie,0,baseball|baseball player|brooklyn dodgers|major league baseball|racism,English,United States,3000,7.5,28000
42nd Street,NA,439000,Music,Comedy,Romance,,,4.718154,Warner Bros.,,2,2,1933,2/2/1933,2281000,89,Lloyd Bacon,65,24,45,Dick Powell,610,Ginger Rogers,7921,995,George Brent,2,chorus girl|chorus line|director|gala premiere|song,English,United States,105,7.7,439
47 Ronin,NA,175000000,Drama,Action,Adventure,Fantasy,,14.88937,Mid Atlantic Films,Stuber Productions,12,6,2013,12/6/2013,150962475,119,Carl Rinsch,218,47,982,Cary-HiroyUnited Kingdomi Tagawa,18000,Keanu Reeves,116994,20965,Jin Akanishi,2,box office flop|ronin|samurai|shogun|tournament,English,United States,1000,6.3,35000
5 Days of War,NA,20000000,War,Drama,,,,3.174512,Midnight Sun Pictures,Dispictures,4,14,2011,4/14/2011,17479,113,Renny Harlin,74,212,18,Kenneth Cranham,567,Richard Coyle,12128,708,Ana Imnadze,9,cameraman|epic battle|journalist|south ossetia|street shootout,English,Georgia,111,5.6,0
50 First Dates,NA,75000000,Comedy,Romance,,,,11.134888,Columbia Pictures Corporation,Happy Madison Productions,2,13,2004,2/13/2004,196482882,99,Peter Segal,147,88,328,Peter Dante,11000,Adam Sandler,266103,12952,Allen Covert,2,dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,English,United States,427,6.8,11000
50/50,NA,8000000,Comedy,Drama,,,,11.869481,Summit Entertainment,Mandate Pictures,9,30,2011,9/30/2011,39187783,100,Jonathan Levine,327,129,3000,Anna Kendrick,23000,Joseph Gordon-Levitt,270441,39807,Bryce Dallas Howard,2,best friend|cancer|survival rate|therapist|vomiting,English,United States,10000,7.7,40000
54,NA,13000000,Music,Drama,,,,8.736869,Redeemable Features,FilmColony,8,28,1998,8/28/1998,16757163,106,Mark Christopher,63,15,812,Ellen Albertini Dow,4000,Salma Hayek,27675,6910,Sela Ward,4,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,English,United States,957,5.8,0
55 Days at Peking,NA,17000000,Action,Drama,History,,,2.972529,Allied Artists Pictures,Samuel Bronston Productions,5,6,1963,5/6/1963,10000000,154,Nicholas Ray,15,117,86,David Niven,715,Ava Gardner,4550,1567,John Ireland,3,ambassador|boxer rebellion|china|colonialism|peking china,English,United States,490,6.8,419
8 Mile,NA,41000000,Drama,,,,,8.374355,Imagine Entertainment,Mikona Productions GmbH & Co. KG,11,8,2002,11/8/2002,215000000,110,Curtis Hanson,119,161,196,Omar Benson Miller,1000,Mekhi Phifer,187181,1954,Evan Jones,0,competition|contest|friend|self expression|white rapper,English,United States,418,7,0
8 Women,NA,8000000,Comedy,Thriller,Music,Crime,Mystery,5.717082,France 2 Cinéma,Fidélité Productions,1,8,2002,1/8/2002,0,111,François Ozon,128,341,569,Isabelle Huppert,963,Catherine Deneuve,23660,3543,Emmanuelle Béart,1,cook|industrialist|secret|snowstorm|suspect,French,France,678,7.1,0
88 Minutes,NA,30000000,Crime,Mystery,Thriller,,,8.552967,TriStar Pictures,Nu Image Entertainment,2,14,2007,2/14/2007,16930884,108,Jon Avnet,158,50,494,Alicia Witt,14000,Al Pacino,65628,16722,Deborah Kara Unger,1,death|fbi|forensics|murder|serial killer,English,United States,975,5.9,0
8MM,"{'id': 387618, 'name': '8MM Collection', 'poster_path': '/8Scc8lBpS2lQs7KPOuxzlm2Z0iP.jpg', 'backdrop_path': '/jgq6X9da6KnEzKNqqb3dYR8bWKy.jpg'}",40000000,Thriller,Crime,Mystery,,,7.473718,Columbia Pictures Corporation,Hofflund/Polone,2,26,1999,2/26/1999,96618699,123,Joel Schumacher,138,541,173,Chris Bauer,12000,Nicolas Cage,104564,12970,Anthony Heald,1,investigation|obsession|private eye|private investigator|snuff film,English,Germany,638,6.5,0
9,NA,30000000,Action,Adventure,Animation,Science Fiction,Thriller,18.502877,Focus Films,Starz Animation,8,19,2009,8/19/2009,48428063,79,Shane Acker,263,30,265,Alan Oppenheimer,940,Martin Landau,111117,1594,Tom Kane,0,hope|key|machine|number|rag doll,English,United States,271,7.1,13000
90 Minutes in Heaven,NA,5000000,Drama,,,,,4.222496,Emmett/Furla Films,Giving Films,9,11,2015,9/11/2015,4842699,121,Michael Polish,12,35,473,Bobby Batson,4000,Hayden Christensen,2047,6617,Cynthia Barrett,0,heaven|hospital|praying|pronounced dead|recovery,English,United States,849,4.6,0
A Beautiful Mind,NA,60000000,Drama,Romance,,,,11.93646,Imagine Entertainment,DreamWorks SKG,12,11,2001,12/11/2001,313542341,135,Ron Howard,205,2000,535,Austin Pendleton,1000,Adam Goldberg,610568,2827,Judd Hirsch,0,conspiracy|cryptography|mathematician|mental illness|nobel prize,English,United States,592,8.2,29000
A Better Life,NA,10000000,Drama,,,,,3.033797,Summit Entertainment,Witt/Thomas Productions,6,24,2011,6/24/2011,1759252,98,Chris Weitz,94,129,221,Eddie 'Piolin' Sotelo,749,Demián Bichir,13174,2214,Robert Peters,0,gang|gardener|money|police|truck,English,United States,252,7.2,0
A Bridge Too Far,NA,22000000,Drama,History,War,,,7.719173,United Artists,Joseph E. Levine Productions,6,15,1977,6/15/1977,50750000,175,Richard Attenborough,56,0,14,Dirk Bogarde,385,Ryan O'Neal,40277,669,Wolfgang Preiss,14,airborne troops|allies|operation market garden|panzer|paratrooper,English,United States,232,7.4,0
A Bug's Life,NA,120000000,Adventure,Animation,Comedy,Family,,16.869209,Walt Disney Pictures,Pixar Animation Studios,11,25,1998,11/25/1998,363258859,95,John Lasseter,117,487,1000,Madeline Kahn,18000,Kevin Spacey,211226,24205,John Ratzenberger,0,ant|circus|grasshopper|misunderstanding|overhearing,English,United States,1000,7.2,0
A Christmas Carol,NA,200000000,Animation,Drama,,,,12.869273,Walt Disney Pictures,ImageMovers,11,4,2009,11/4/2009,325233863,96,Robert Zemeckis,240,0,10000,Colin Firth,18000,Robin Wright,72809,48878,Gary Oldman,0,charles dickens|christmas|christmas eve|ghost|scrooge,English,United States,14000,6.8,0
A Christmas Story,"{'id': 201873, 'name': 'A Christmas Story Collection', 'poster_path': '/qjHPRBBiluOwJZp7AcMtrs0dNPr.jpg', 'backdrop_path': '/sDJLWSHdsORRGMEii0SWvm7DMwN.jpg'}",0,Comedy,Family,,,,7.337907,Metro-Goldwyn-Mayer (MGM),Christmas Tree Films,11,18,1983,11/18/1983,19294144,94,Bob Clark,109,84,378,Darren McGavin,662,Zack Ward,104908,2076,Scott Schwartz,0,bb gun|boy|bully|christmas|tongue stuck on a pole,English,United States,577,8.1,18000
A Cinderella Story,"{'id': 437451, 'name': 'Cinderella Story Collection', 'poster_path': '/65raP1FRJpPC5GVWVvemQ3kLAKG.jpg', 'backdrop_path': '/iVqkNuy2jpcurdk2ZH2iAexJTo6.jpg'}",19000000,Comedy,,,,,8.385361,Gaylord Films,Warner Bros.,7,10,2004,7/10/2004,70067909,95,Mark Rosman,69,15,528,Lin Shaye,1000,Dan Byrd,62861,3092,Julie Gonzalo,2,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,English,United States,852,5.9,0
A Civil Action,NA,70000000,Drama,,,,,9.353499,Paramount Pictures,Wildwood Enterprises,3,5,1998,3/5/1998,56702901,115,Steven Zaillian,110,234,521,Kathleen Quinlan,3000,Robert Duvall,23302,4713,Sydney Pollack,1,1980s|law firm|lawsuit|lawyer|toxic waste,English,United States,552,6.5,1000
A Dangerous Method,NA,15000000,Drama,Thriller,,,,9.865944,Recorded Pictures Company,The Movie Network,9,30,2011,9/30/2011,27462041,99,David Cronenberg,345,0,691,Viggo Mortensen,13000,Michael Fassbender,80617,23755,Sarah Gadon,3,carl jung|patient|psychoanalysis|russian|sigmund freud,English,United Kingdom,10000,6.5,36000
A Dog's Breakfast,NA,120000,Comedy,,,,,9.17962,Kibble Productions,,3,3,2007,3/3/2007,0,88,David Hewlett,8,686,405,David Hewlett,847,Christopher Judge,3262,2364,Paul McGillion,2,dog|vegetarian,English,Canada,686,7,377
A Dog's Breakfast,NA,120000,Comedy,,,,,9.17962,Kibble Productions,,3,3,2007,3/3/2007,0,88,David Hewlett,8,686,405,David Hewlett,847,Christopher Judge,3262,2364,Paul McGillion,2,dog|vegetarian,English,Canada,686,7,377
A Farewell to Arms,NA,4,Drama,Romance,War,,,1.914697,Paramount Pictures,,12,8,1932,12/8/1932,25,89,Frank Borzage,42,57,99,Helen Hayes,998,Gary Cooper,3519,1284,Adolphe Menjou,1,1910s|ambulance driver|italy|lake|nurse,English,United States,164,6.6,213
A Farewell to Arms,NA,4,Drama,Romance,War,,,2.411191,Paramount Pictures,,12,8,1932,12/8/1932,25,89,Frank Borzage,42,57,99,Helen Hayes,998,Gary Cooper,3519,1284,Adolphe Menjou,1,1910s|ambulance driver|italy|lake|nurse,English,United States,164,6.6,213
